,county,fips,state_abbrv,state,fips_state,year,population,prescription_rate,age_adjusted_mortality_range,avg_mortality_rate,change_mortality_rate,change_prescription_rate
8,"Autauga, AL",01001,AL,Alabama,01,2006,51328,134.8,6-7.9,6.95,,
2757,"Autauga, AL",01001,AL,Alabama,01,2007,52405,135.8,6-7.9,6.95,0.0,1.0
5497,"Autauga, AL",01001,AL,Alabama,01,2008,53277,144.9,6-7.9,6.95,0.0,9.099999999999994
8249,"Autauga, AL",01001,AL,Alabama,01,2009,54135,147.5,6-7.9,6.95,0.0,2.5999999999999943
10993,"Autauga, AL",01001,AL,Alabama,01,2010,54660,151.7,8-9.9,8.95,1.9999999999999991,4.199999999999989
13728,"Autauga, AL",01001,AL,Alabama,01,2011,55253,144.1,8-9.9,8.95,0.0,-7.599999999999994
16468,"Autauga, AL",01001,AL,Alabama,01,2012,55175,157.8,8-9.9,8.95,0.0,13.700000000000017
19198,"Autauga, AL",01001,AL,Alabama,01,2013,55038,166.7,8-9.9,8.95,0.0,8.899999999999977
21946,"Autauga, AL",01001,AL,Alabama,01,2014,55290,145.3,10-11.9,10.95,2.0,-21.399999999999977
24899,"Autauga, AL",01001,AL,Alabama,01,2015,55347,129.9,10-11.9,10.95,0.0,-15.400000000000006
27855,"Autauga, AL",01001,AL,Alabama,01,2016,55416,129.6,10-11.9,10.95,0.0,-0.30000000000001137
9,"Baldwin, AL",01003,AL,Alabama,01,2006,168121,127.8,10-11.9,10.95,,
2758,"Baldwin, AL",01003,AL,Alabama,01,2007,172404,133.2,12-13.9,12.95,2.0,5.3999999999999915
5498,"Baldwin, AL",01003,AL,Alabama,01,2008,175827,138.3,12-13.9,12.95,0.0,5.100000000000023
8250,"Baldwin, AL",01003,AL,Alabama,01,2009,179406,143.9,14-15.9,14.95,2.0,5.599999999999994
10994,"Baldwin, AL",01003,AL,Alabama,01,2010,183193,143.8,14-15.9,14.95,0.0,-0.09999999999999432
13729,"Baldwin, AL",01003,AL,Alabama,01,2011,186659,150.0,14-15.9,14.95,0.0,6.199999999999989
16469,"Baldwin, AL",01003,AL,Alabama,01,2012,190396,156.4,16-17.9,16.95,2.0,6.400000000000006
19199,"Baldwin, AL",01003,AL,Alabama,01,2013,195126,154.3,16-17.9,16.95,0.0,-2.0999999999999943
21947,"Baldwin, AL",01003,AL,Alabama,01,2014,199713,143.5,18-19.9,18.95,2.0,-10.800000000000011
24900,"Baldwin, AL",01003,AL,Alabama,01,2015,203709,132.1,20-21.9,20.95,2.0,-11.400000000000006
27856,"Baldwin, AL",01003,AL,Alabama,01,2016,208563,123.8,20-21.9,20.95,0.0,-8.299999999999997
10,"Barbour, AL",01005,AL,Alabama,01,2006,27861,78.1,2-3.9,2.95,,
2759,"Barbour, AL",01005,AL,Alabama,01,2007,27757,72.7,2-3.9,2.95,0.0,-5.3999999999999915
5499,"Barbour, AL",01005,AL,Alabama,01,2008,27808,79.6,2-3.9,2.95,0.0,6.8999999999999915
8251,"Barbour, AL",01005,AL,Alabama,01,2009,27657,88.5,4-5.9,4.95,2.0,8.900000000000006
10995,"Barbour, AL",01005,AL,Alabama,01,2010,27341,97.0,4-5.9,4.95,0.0,8.5
13730,"Barbour, AL",01005,AL,Alabama,01,2011,27226,99.4,4-5.9,4.95,0.0,2.4000000000000057
16470,"Barbour, AL",01005,AL,Alabama,01,2012,27159,118.3,4-5.9,4.95,0.0,18.89999999999999
19200,"Barbour, AL",01005,AL,Alabama,01,2013,26973,107.5,4-5.9,4.95,0.0,-10.799999999999997
21948,"Barbour, AL",01005,AL,Alabama,01,2014,26815,102.0,6-7.9,6.95,2.0,-5.5
24901,"Barbour, AL",01005,AL,Alabama,01,2015,26489,93.3,6-7.9,6.95,0.0,-8.700000000000003
27857,"Barbour, AL",01005,AL,Alabama,01,2016,25965,92.7,6-7.9,6.95,0.0,-0.5999999999999943
11,"Bibb, AL",01007,AL,Alabama,01,2006,22099,114.3,6-7.9,6.95,,
2760,"Bibb, AL",01007,AL,Alabama,01,2007,22438,116.1,6-7.9,6.95,0.0,1.7999999999999972
5500,"Bibb, AL",01007,AL,Alabama,01,2008,22705,119.6,8-9.9,8.95,1.9999999999999991,3.5
8252,"Bibb, AL",01007,AL,Alabama,01,2009,22941,109.6,8-9.9,8.95,0.0,-10.0
10996,"Bibb, AL",01007,AL,Alabama,01,2010,22861,58.9,10-11.9,10.95,2.0,-50.699999999999996
13731,"Bibb, AL",01007,AL,Alabama,01,2011,22733,57.7,10-11.9,10.95,0.0,-1.1999999999999957
16471,"Bibb, AL",01007,AL,Alabama,01,2012,22642,69.2,12-13.9,12.95,2.0,11.5
19201,"Bibb, AL",01007,AL,Alabama,01,2013,22512,70.5,12-13.9,12.95,0.0,1.2999999999999972
21949,"Bibb, AL",01007,AL,Alabama,01,2014,22549,75.8,14-15.9,14.95,2.0,5.299999999999997
24902,"Bibb, AL",01007,AL,Alabama,01,2015,22583,69.4,14-15.9,14.95,0.0,-6.3999999999999915
27858,"Bibb, AL",01007,AL,Alabama,01,2016,22643,97.2,16-17.9,16.95,2.0,27.799999999999997
12,"Blount, AL",01009,AL,Alabama,01,2006,55485,40.3,8-9.9,8.95,,
2761,"Blount, AL",01009,AL,Alabama,01,2007,56240,44.6,10-11.9,10.95,2.0,4.300000000000004
5501,"Blount, AL",01009,AL,Alabama,01,2008,57055,58.2,10-11.9,10.95,0.0,13.600000000000001
8253,"Blount, AL",01009,AL,Alabama,01,2009,57341,56.2,10-11.9,10.95,0.0,-2.0
10997,"Blount, AL",01009,AL,Alabama,01,2010,57373,60.1,12-13.9,12.95,2.0,3.8999999999999986
13732,"Blount, AL",01009,AL,Alabama,01,2011,57711,64.8,12-13.9,12.95,0.0,4.699999999999996
16472,"Blount, AL",01009,AL,Alabama,01,2012,57776,66.6,12-13.9,12.95,0.0,1.7999999999999972
19202,"Blount, AL",01009,AL,Alabama,01,2013,57734,65.9,14-15.9,14.95,2.0,-0.6999999999999886
21950,"Blount, AL",01009,AL,Alabama,01,2014,57658,63.2,14-15.9,14.95,0.0,-2.700000000000003
24903,"Blount, AL",01009,AL,Alabama,01,2015,57673,57.9,16-17.9,16.95,2.0,-5.300000000000004
27859,"Blount, AL",01009,AL,Alabama,01,2016,57704,56.9,16-17.9,16.95,0.0,-1.0
13,"Bullock, AL",01011,AL,Alabama,01,2006,10776,34.6,2-3.9,2.95,,
2762,"Bullock, AL",01011,AL,Alabama,01,2007,11011,37.7,2-3.9,2.95,0.0,3.1000000000000014
5502,"Bullock, AL",01011,AL,Alabama,01,2008,10953,41.1,4-5.9,4.95,2.0,3.3999999999999986
8254,"Bullock, AL",01011,AL,Alabama,01,2009,10987,46.3,4-5.9,4.95,0.0,5.199999999999996
10998,"Bullock, AL",01011,AL,Alabama,01,2010,10887,53.8,4-5.9,4.95,0.0,7.5
13733,"Bullock, AL",01011,AL,Alabama,01,2011,10629,41.0,6-7.9,6.95,2.0,-12.799999999999997
16473,"Bullock, AL",01011,AL,Alabama,01,2012,10606,40.8,6-7.9,6.95,0.0,-0.20000000000000284
19203,"Bullock, AL",01011,AL,Alabama,01,2013,10628,41.2,6-7.9,6.95,0.0,0.4000000000000057
21951,"Bullock, AL",01011,AL,Alabama,01,2014,10829,34.3,8-9.9,8.95,1.9999999999999991,-6.900000000000006
24904,"Bullock, AL",01011,AL,Alabama,01,2015,10696,23.4,8-9.9,8.95,0.0,-10.899999999999999
27860,"Bullock, AL",01011,AL,Alabama,01,2016,10362,19.8,10-11.9,10.95,2.0,-3.599999999999998
14,"Butler, AL",01013,AL,Alabama,01,2006,20815,105.4,4-5.9,4.95,,
2763,"Butler, AL",01013,AL,Alabama,01,2007,20894,102.0,4-5.9,4.95,0.0,-3.4000000000000057
