,county,fips,state_abbrv,state,fips_state,year,population,prescription_rate,age_adjusted_mortality_range,avg_mortality_rate,change_mortality_rate,change_prescription_rate,latitude,longitude
0,"Adams, IN",18001,IN,Indiana,18,2006,33887,64.1,4-5.9,4.95,,,40.74629817999999,-84.95625839714285
1,"Adams, IN",18001,IN,Indiana,18,2007,33962,66.3,6-7.9,6.95,2.0,2.200000000000003,40.74629817999999,-84.95625839714285
2,"Adams, IN",18001,IN,Indiana,18,2008,34214,68.4,6-7.9,6.95,0.0,2.1000000000000085,40.74629817999999,-84.95625839714285
3,"Adams, IN",18001,IN,Indiana,18,2009,34351,68.6,6-7.9,6.95,0.0,0.19999999999998863,40.74629817999999,-84.95625839714285
4,"Adams, IN",18001,IN,Indiana,18,2010,34455,65.7,8-9.9,8.95,1.9999999999999991,-2.8999999999999915,40.74629817999999,-84.95625839714285
5,"Adams, IN",18001,IN,Indiana,18,2011,34374,67.9,8-9.9,8.95,0.0,2.200000000000003,40.74629817999999,-84.95625839714285
6,"Adams, IN",18001,IN,Indiana,18,2012,34429,71.5,8-9.9,8.95,0.0,3.5999999999999943,40.74629817999999,-84.95625839714285
7,"Adams, IN",18001,IN,Indiana,18,2013,34671,69.5,8-9.9,8.95,0.0,-2.0,40.74629817999999,-84.95625839714285
8,"Adams, IN",18001,IN,Indiana,18,2014,34756,67.7,10-11.9,10.95,2.0,-1.7999999999999972,40.74629817999999,-84.95625839714285
9,"Adams, IN",18001,IN,Indiana,18,2015,34980,65.8,10-11.9,10.95,0.0,-1.9000000000000057,40.74629817999999,-84.95625839714285
10,"Adams, IN",18001,IN,Indiana,18,2016,35232,63.8,12-13.9,12.95,2.0,-2.0,40.74629817999999,-84.95625839714285
11,"Allen, IN",18003,IN,Indiana,18,2006,346314,76.0,6-7.9,6.95,,,41.08566501090908,-85.07634306181816
12,"Allen, IN",18003,IN,Indiana,18,2007,349534,81.2,6-7.9,6.95,0.0,5.200000000000003,41.08566501090908,-85.07634306181816
13,"Allen, IN",18003,IN,Indiana,18,2008,351264,82.9,8-9.9,8.95,1.9999999999999991,1.7000000000000028,41.08566501090908,-85.07634306181816
14,"Allen, IN",18003,IN,Indiana,18,2009,353693,85.2,8-9.9,8.95,0.0,2.299999999999997,41.08566501090908,-85.07634306181816
15,"Allen, IN",18003,IN,Indiana,18,2010,355890,87.1,8-9.9,8.95,0.0,1.8999999999999915,41.08566501090908,-85.07634306181816
16,"Allen, IN",18003,IN,Indiana,18,2011,358782,89.7,8-9.9,8.95,0.0,2.6000000000000085,41.08566501090908,-85.07634306181816
17,"Allen, IN",18003,IN,Indiana,18,2012,360859,96.1,10-11.9,10.95,2.0,6.3999999999999915,41.08566501090908,-85.07634306181816
18,"Allen, IN",18003,IN,Indiana,18,2013,363473,90.8,10-11.9,10.95,0.0,-5.299999999999997,41.08566501090908,-85.07634306181816
19,"Allen, IN",18003,IN,Indiana,18,2014,365701,85.8,10-11.9,10.95,0.0,-5.0,41.08566501090908,-85.07634306181816
20,"Allen, IN",18003,IN,Indiana,18,2015,368450,82.1,12-13.9,12.95,2.0,-3.700000000000003,41.08566501090908,-85.07634306181816
21,"Allen, IN",18003,IN,Indiana,18,2016,370404,76.0,12-13.9,12.95,0.0,-6.099999999999994,41.08566501090908,-85.07634306181816
22,"Bartholomew, IN",18005,IN,Indiana,18,2006,74508,123.9,8-9.9,8.95,,,38.6215978969697,-84.59041671363639
23,"Bartholomew, IN",18005,IN,Indiana,18,2007,75265,136.1,8-9.9,8.95,0.0,12.199999999999989,38.6215978969697,-84.59041671363639
24,"Bartholomew, IN",18005,IN,Indiana,18,2008,76080,139.7,10-11.9,10.95,2.0,3.5999999999999943,38.6215978969697,-84.59041671363639
25,"Bartholomew, IN",18005,IN,Indiana,18,2009,76566,140.9,10-11.9,10.95,0.0,1.200000000000017,38.6215978969697,-84.59041671363639
26,"Bartholomew, IN",18005,IN,Indiana,18,2010,76846,148.9,10-11.9,10.95,0.0,8.0,38.6215978969697,-84.59041671363639
27,"Bartholomew, IN",18005,IN,Indiana,18,2011,77630,150.8,12-13.9,12.95,2.0,1.9000000000000057,38.6215978969697,-84.59041671363639
28,"Bartholomew, IN",18005,IN,Indiana,18,2012,78924,141.7,12-13.9,12.95,0.0,-9.100000000000023,38.6215978969697,-84.59041671363639
29,"Bartholomew, IN",18005,IN,Indiana,18,2013,79505,130.1,14-15.9,14.95,2.0,-11.599999999999994,38.6215978969697,-84.59041671363639
30,"Bartholomew, IN",18005,IN,Indiana,18,2014,80220,113.1,14-15.9,14.95,0.0,-17.0,38.6215978969697,-84.59041671363639
31,"Bartholomew, IN",18005,IN,Indiana,18,2015,81162,101.1,14-15.9,14.95,0.0,-12.0,38.6215978969697,-84.59041671363639
32,"Bartholomew, IN",18005,IN,Indiana,18,2016,81402,93.5,16-17.9,16.95,2.0,-7.599999999999994,38.6215978969697,-84.59041671363639
33,"Benton, IN",18007,IN,Indiana,18,2006,8871,21.0,8-9.9,8.95,,,40.58722108604651,-87.34033682093023
34,"Benton, IN",18007,IN,Indiana,18,2007,8805,7.8,10-11.9,10.95,2.0,-13.2,40.58722108604651,-87.34033682093023
35,"Benton, IN",18007,IN,Indiana,18,2008,8801,6.5,10-11.9,10.95,0.0,-1.2999999999999998,40.58722108604651,-87.34033682093023
36,"Benton, IN",18007,IN,Indiana,18,2009,8735,6.8,10-11.9,10.95,0.0,0.2999999999999998,40.58722108604651,-87.34033682093023
37,"Benton, IN",18007,IN,Indiana,18,2010,8856,17.9,12-13.9,12.95,2.0,11.099999999999998,40.58722108604651,-87.34033682093023
38,"Benton, IN",18007,IN,Indiana,18,2011,8856,26.1,12-13.9,12.95,0.0,8.200000000000003,40.58722108604651,-87.34033682093023
39,"Benton, IN",18007,IN,Indiana,18,2012,8807,26.2,14-15.9,14.95,2.0,0.09999999999999787,40.58722108604651,-87.34033682093023
40,"Benton, IN",18007,IN,Indiana,18,2013,8717,24.4,16-17.9,16.95,2.0,-1.8000000000000007,40.58722108604651,-87.34033682093023
