FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
429985|Aberdeen|Populated Place|00136|U6|||18|IN|1|115|Ohio|38.9053377|-84.9874511|02/14/1979|05/12/2014
429988|Abington|Populated Place|00154|U6|0002|180002177|18|IN|1|177|Wayne|39.7331033|-84.9630172|02/14/1979|
429991|Aboite|Populated Place|00190|U6|0003|180003003|18|IN|1|003|Allen|41.0008805|-85.3180293|02/14/1979|
429998|Acme|Populated Place|00244|U6|||18|IN|1|071|Jackson|38.9781078|-86.0588715|02/14/1979|
429999|Acton|Populated Place|00262|U4|0005|180005097|18|IN|1|097|Marion|39.6556013|-85.9669266|02/14/1979|03/07/2007
430001|Adams|Populated Place|00352|U6|||18|IN|1|031|Decatur|39.3825496|-85.559973|02/14/1979|05/12/2014
430002|Adams|Populated Place|00424|U6|||18|IN|1|109|Morgan|39.4822701|-86.3555484|02/14/1979|
430014|Adams Mill|Populated Place|00550|U6|||18|IN|1|015|Carroll|40.4805914|-86.5088864|02/14/1979|
430017|Ade|Populated Place|00604|U6|0007|180007111|18|IN|1|111|Newton|40.8683693|-87.4447497|02/14/1979|
430020|Adel|Populated Place|00622|U6|||18|IN|1|119|Owen|39.1919894|-86.7958389|02/14/1979|05/10/2014
430023|Advance|Populated Place|00640|P1|0010|180010011|18|IN|1|011|Boone|39.9958763|-86.620004|02/14/1979|03/20/2008
430024|Adyeville|Populated Place|00658|U6|||18|IN|1|123|Perry|38.1908898|-86.7694347|02/14/1979|05/12/2014
430025|Aetna|Populated Place|00676|U4|||18|IN|1|089|Lake|41.5919809|-87.2894814|02/14/1979|
430026|Africa|Populated Place|00685|U6|||18|IN|1|147|Spencer|37.8403271|-87.0727745|02/14/1979|
430034|Aix|Populated Place|00721|U6|||18|IN|1|073|Jasper|41.0414261|-87.1514139|02/14/1979|
430038|Akron|Populated Place|00748|P1|0020|180020049|18|IN|1|049|Fulton|41.0383766|-86.0280502|02/14/1979|05/12/2014
430039|Alamo|Populated Place|00784|P1|0040|180040107|18|IN|1|107|Montgomery|39.9819877|-87.0572313|02/14/1979|03/20/2008
430040|Alaska|Populated Place|00795|U6|||18|IN|1|119|Owen|39.4703246|-86.6413912|02/14/1979|
430040|Alaska|Populated Place|00795|U6|||18|IN|2|109|Morgan|39.4703246|-86.6413912|02/14/1979|
430041|Albany|Populated Place|00802|P1|0050|180050035|18|IN|1|035|Delaware|40.3008764|-85.2419145|02/14/1979|03/20/2008
430041|Albany|Populated Place|00802|P1|0050|180050135|18|IN|2|135|Randolph|40.3008764|-85.2419145|02/14/1979|03/20/2008
430043|Albion|Populated Place|00845|U6|||18|IN|1|143|Scott|38.7436684|-85.7341334|02/14/1979|
430044|Albion|Populated Place|00820|P1|0060|180060113|18|IN|1|113|Noble|41.3956043|-85.4244241|02/14/1979|03/20/2008
430054|Aldine|Populated Place|00874|U6|||18|IN|1|149|Starke|41.2008742|-86.6744581|02/14/1979|05/10/2014
430058|Alert|Populated Place|00892|U6|||18|IN|1|031|Decatur|39.16033|-85.6783093|02/14/1979|
430066|Alexandria|Populated Place|00910|P1|0070|180070095|18|IN|1|095|Madison|40.2628184|-85.675809|02/14/1979|03/20/2008
430069|Alfont|Populated Place|00928|U6|||18|IN|1|095|Madison|39.9514295|-85.8147012|02/14/1979|
430070|Alford|Populated Place|00946|U6|||18|IN|1|125|Pike|38.4914383|-87.2427898|02/14/1979|
430072|Alfordsville|Populated Place|00964|P1|0080|180080027|18|IN|1|027|Daviess|38.5606067|-86.9483354|02/14/1979|05/10/2014
430075|Algiers|Populated Place|00982|U6|||18|IN|1|125|Pike|38.4872721|-87.1750093|02/14/1979|
430076|Alida|Populated Place|01000|U6|||18|IN|1|091|LaPorte|41.5105967|-86.903082|02/14/1979|
430096|Allendale|Populated Place|01054|U6|0085|180085167|18|IN|1|167|Vigo|39.3917047|-87.3958531|02/14/1979|
430098|Allensville|Populated Place|01080|U6|||18|IN|1|155|Switzerland|38.8731158|-85.020229|02/14/1979|
430101|Alliance|Populated Place|01090|U6|||18|IN|1|095|Madison|40.0333763|-85.6499762|02/14/1979|
430104|Allisonville|Populated Place|01126|U4|0087|180087097|18|IN|1|097|Marion|39.9050392|-86.078319|02/14/1979|
430107|Allman|Populated Place|01144|U6|||18|IN|1|109|Morgan|39.6172687|-86.4311062|02/14/1979|
430115|Alpine|Populated Place|01180|U6|||18|IN|1|041|Fayette|39.5539375|-85.1757968|02/14/1979|05/10/2014
430116|Alquina|Populated Place|01198|U6|||18|IN|1|041|Fayette|39.6128262|-85.0546845|02/14/1979|
430118|Alta|Populated Place|01216|U6|||18|IN|1|165|Vermillion|39.7722603|-87.3866837|02/14/1979|
430122|Alto|Populated Place|01252|U6|||18|IN|1|067|Howard|40.4400378|-86.1655485|02/14/1979|
430124|Altona|Populated Place|01288|P1|0100|180100033|18|IN|1|033|DeKalb|41.3514383|-85.1549719|02/14/1979|03/20/2008
430126|Alvarado|Populated Place|01306|U6|||18|IN|1|151|Steuben|41.5767171|-84.8377368|02/14/1979|
430128|Ambia|Populated Place|01342|P1|0110|180110007|18|IN|1|007|Benton|40.4900363|-87.5169642|02/14/1979|05/10/2014
430129|Ambler|Populated Place|01355|U6|||18|IN|1|091|LaPorte|41.7158744|-86.7966937|02/14/1979|
430130|Amboy|Populated Place|01360|P1|0120|180120103|18|IN|1|103|Miami|40.6014291|-85.9288757|02/14/1979|03/20/2008
430134|Americus|Populated Place|01396|U5|||18|IN|1|157|Tippecanoe|40.5258695|-86.7580635|02/14/1979|01/29/2011
430136|Ames|Populated Place|01414|U4|||18|IN|1|107|Montgomery|40.033376|-86.8869517|02/14/1979|
430138|Amity|Populated Place|01432|U6|0125|180125081|18|IN|1|081|Johnson|39.4261618|-86.0010995|02/14/1979|
430143|Amo|Populated Place|01450|P1|0130|180130063|18|IN|1|063|Hendricks|39.6881019|-86.6136129|02/14/1979|03/20/2008
430149|Ainsworth|Populated Place|00694|U6|0016|180016089|18|IN|1|089|Lake|41.4878149|-87.2586458|10/01/1982|05/10/2014
430152|Anderson|Populated Place|01468|P1|0140|180140095|18|IN|1|095|Madison|40.1053196|-85.6802541|02/14/1979|03/20/2008
430166|Andersonville|Populated Place|01576|U4|||18|IN|1|035|Delaware|40.2186541|-85.4310827|02/14/1979|
430167|Andersonville|Populated Place|01594|U6|0142|180142047|18|IN|1|047|Franklin|39.4975488|-85.2888542|02/14/1979|
430170|Andrews|Populated Place|01612|P1|0150|180150069|18|IN|1|069|Huntington|40.8625448|-85.6016458|02/14/1979|05/10/2014
430173|Andry|Populated Place|01648|U6|||18|IN|1|091|LaPorte|41.7178195|-86.7580815|02/14/1979|
430179|Angola|Populated Place|01666|P1|0160|180160151|18|IN|1|151|Steuben|41.6347726|-84.9994088|02/14/1979|03/20/2008
430180|Anita|Populated Place|01684|U6|||18|IN|1|081|Johnson|39.4258821|-86.1913786|02/14/1979|
430181|Annandale Estates|Populated Place|01702|U6|||18|IN|1|013|Brown|39.2178262|-86.2661016|02/14/1979|
430182|Annapolis|Populated Place|01720|U6|||18|IN|1|121|Parke|39.8525403|-87.2505685|02/14/1979|
